"logFC","AveExpr","t","P.Value","adj.P.Val","B","ProbeID","SYMBOL","ENTREZID"
-0.510035358374601,13.1926197532043,-4.03940238195681,8.42160598162268e-05,0.00316763185032675,1.28861952236056,"ILMN_2134381","C14orf85","319085"
-0.804443105742131,8.36186436343889,-4.03877596823537,8.44195897452717e-05,0.00316763185032675,1.28642809930236,"ILMN_3289489","LOC387753","387753"
-0.733262248346098,7.25580128555608,-4.03717474957338,8.49419817324871e-05,0.00317694768355174,1.28082768925234,"ILMN_1684439","MLF1","4291"
-1.17953048584886,8.62375217612892,-4.03384712423193,8.60374898247758e-05,0.00320682492246897,1.26919469424451,"ILMN_1664718","CYP51A1","1595"
-0.579411055307049,6.84952646720707,-4.03331361236971,8.62143795798169e-05,0.00320788719063078,1.26733031203047,"ILMN_1793846","BZW1","9689"
-0.878228659082765,8.13496382849701,-4.03234741969409,8.6535611314764e-05,0.00320894511776111,1.26395440867132,"ILMN_3192446","LOC100128410","100128410"
0.767794309198425,8.70008246460126,4.03191679537848,8.66791492916342e-05,0.00320894511776111,1.26245000416733,"ILMN_1699585","BHLHE22","27319"
-0.603816109855267,13.0692124872617,-4.03104657619909,8.69699089379533e-05,0.00320894511776111,1.2594102486249,"ILMN_3305169","LOC728809","728809"
-0.691498615442921,7.50076290612169,-4.02721168611632,8.82623524171071e-05,0.0032505205017939,1.24602088251622,"ILMN_1707051","NFATC1","4772"
-0.549015715665001,8.96572120180173,-4.02485861267737,8.90644386847331e-05,0.0032744813528683,1.23781027163879,"ILMN_1738678","C9orf130","286354"
-0.85483824980093,7.54606013021391,-4.02329363574931,8.9601732940538e-05,0.0032830682418789,1.23235170461991,"ILMN_1781764","HNRNPH2","3188"
-0.95858724505151,7.8228141054376,-4.02060279309568,9.05327991239e-05,0.00331157030703971,1.22297014601409,"ILMN_2390609","ANK3","288"
-1.17973023584928,8.0009985972317,-4.01970027853554,9.08471419464411e-05,0.00331745526114555,1.21982467683076,"ILMN_2275502","RAPH1","65059"
0.515955199568534,6.64720864773084,4.01914318069973,9.10416965581926e-05,0.0033189534505818,1.21788334620712,"ILMN_1668277","BLK","640"
-0.690109708451599,10.8805018849063,-4.0186661243347,9.12086141471516e-05,0.00331944077547664,1.21622110918012,"ILMN_2048811","NUBPL","80224"
-0.810298326981402,7.33999548822903,-4.01822716889698,9.13624583666158e-05,0.00331945147053698,1.21469176926873,"ILMN_2172202","NUDT15","55270"
-0.708471684171979,11.3305282362553,-4.00966143715009,9.44145550161803e-05,0.0034131335289963,1.18487519706761,"ILMN_1872419",NA,NA
-0.529027019638065,8.81401025042135,-4.00773287994155,9.51150134142894e-05,0.0034286363698328,1.17816909525278,"ILMN_1809750","TDRD1","56165"
-0.566362492955331,8.53138198373632,-4.00760784081367,9.51605986631362e-05,0.0034286363698328,1.1777343906036,"ILMN_1915783",NA,NA
-0.57542483935822,9.14186972564447,-4.00600693491977,9.57460812213703e-05,0.00344399132087119,1.17216972464877,"ILMN_2228196","C6orf170","221322"
-0.63089652142358,6.81343873699591,-4.00482659516135,9.61799523700657e-05,0.00345385084773435,1.16806806763552,"ILMN_1733802","PCAF","8850"
-0.705218470940763,9.46977719627188,-4.00436429534617,9.63503955760712e-05,0.00345423358468243,1.16646184945168,"ILMN_2161286","FAM40B","57464"
-1.1729687770379,8.56239681239015,-4.00323749854712,9.6767036250451e-05,0.00346031516795034,1.16254752117637,"ILMN_2175114","KCNS3","3790"
-1.17711886573408,8.71619676416544,-4.00291237627839,9.68875713207658e-05,0.00346031516795034,1.16141825808288,"ILMN_2113074","UFM1","51569"
-0.651099393494156,12.498070484976,-4.0026088451889,9.70002309084052e-05,0.00346031516795034,1.16036405515226,"ILMN_2342455","PPA2","27068"
-0.859924313209421,7.61280879472994,-4.00162259787151,9.73671524345602e-05,0.00346768220976989,1.15693913311612,"ILMN_2386891","GLT8D1","55830"
-0.593770934005856,6.63366190658022,-3.99938262504195,9.82054289419977e-05,0.00349178447840149,1.14916294047926,"ILMN_2047856","EFHA2","286097"
-0.525251895851201,7.09517487360915,-3.99737196865227,9.89637425569306e-05,0.00350721014196021,1.14218581136381,"ILMN_3207490","LOC441896","441896"
-0.995748409747118,7.62141399554377,-3.9941295245445,0.000100198391885372,0.00353941819499104,1.13094022448873,"ILMN_2070940","CD302","9936"
-0.822044200532446,8.27262144555624,-3.9941252856928,0.00010020001551182,0.00353941819499104,1.13092552791679,"ILMN_1685641","BCHE","590"
-0.779246288420114,8.23265434896993,-3.99307280848509,0.000100603927607963,0.00354193120528333,1.12727685992034,"ILMN_1724295","LOC643007","643007"
-1.31941697362506,10.8261772736627,-3.99297204967026,0.000100642677387336,0.00354193120528333,1.12692759553906,"ILMN_3242288","LOC641768","641768"
0.546910345764278,7.678718235037,3.99235439198529,0.00010088052695686,0.00354193120528333,1.12478673837265,"ILMN_1780397","TRAF3IP3","80342"
-0.570423723335804,13.0606965551268,-3.99223510193065,0.000100926525231498,0.00354193120528333,1.12437329897049,"ILMN_2091084","C8orf37","157657"
-0.595111092312215,13.3481670459437,-3.99040573107825,0.00010163443978384,0.00355546904257692,1.11803424909895,"ILMN_3289685","LOC645452","645452"
0.895315389775482,8.9617048069465,3.98855162450914,0.000102356753567789,0.00357471453736425,1.11161186977524,"ILMN_1734878","CD79A","973"
-0.646333971889928,12.602428523767,-3.98250295365098,0.000104747330844902,0.00364642157520949,1.09067676775365,"ILMN_2230162","FLJ44124","641737"
-0.55306121459048,6.54672745231743,-3.98019614319261,0.000105672974930636,0.00367151711429133,1.08269938221576,"ILMN_2307266","ARL6","84100"
-0.671647898082349,7.32150296087208,-3.97986150571968,0.000105807899075007,0.00367151711429133,1.08154245170734,"ILMN_1779032","LOC642502","642502"
-1.29012456306025,8.22258062885227,-3.97601317296294,0.000107371371860302,0.00371979858473718,1.06824337330865,"ILMN_2196328","POSTN","10631"
-0.813900339012708,7.14744035693895,-3.97504151692343,0.00010776959558767,0.0037276209878628,1.064887159893,"ILMN_2100357","SMPDL3A","10924"
-0.895781605745238,8.54274535144256,-3.97197164544376,0.000109037018344607,0.00376543492423917,1.05428780665994,"ILMN_1695370","LOC645968","645968"
-0.518811774875107,13.6390082841749,-3.97039642746162,0.000109692860338581,0.00377710812956447,1.04885160850062,"ILMN_3294106","LOC100190938","100190938"
-0.742539774784449,12.0658534942648,-3.97032069873161,0.00010972448447435,0.00377710812956447,1.04859030661207,"ILMN_3251723","PNPT1","87178"
